"art","a_label","subj1","subj3","subj4","subj5"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000213","busto ritratto di Matteo Boverio (monumento funebre - a tempietto, opera isolata) - bottega Italia settentrionale (seconda metà sec. XVI)","https://w3id.org/arco/resource/Subject/49781e09555987aae0772eafd66f8c1c","61 B 2 (BOVERIO, Matteo)","busto ritratto di Matteo Boverio","busto ritratto di Matteo Boverio"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000213","busto ritratto di Matteo Boverio (monumento funebre - a tempietto, opera isolata) - bottega Italia settentrionale (seconda metà sec. XVI)","https://w3id.org/arco/resource/Subject/49781e09555987aae0772eafd66f8c1c","61 B 2 (BOVERIO, Matteo)","busto ritratto di Matteo Boverio","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000214","busto ritratto di Maria Tapparelli (monumento funebre - a tempietto, opera isolata) - bottega Italia settentrionale (seconda metà sec. XVI)","https://w3id.org/arco/resource/Subject/71dc70e39cc4d5a5bdfca6695ed91e51","61 B 2 (TAPPARELLI, Maria)","busto ritratto di Maria Tapparelli","busto ritratto di Maria Tapparelli"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000214","busto ritratto di Maria Tapparelli (monumento funebre - a tempietto, opera isolata) - bottega Italia settentrionale (seconda metà sec. XVI)","https://w3id.org/arco/resource/Subject/71dc70e39cc4d5a5bdfca6695ed91e51","61 B 2 (TAPPARELLI, Maria)","busto ritratto di Maria Tapparelli","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000215-0","motivi decorativi a girali vegetali con angeli (pulpito, opera isolata) by Botto Pietro (attribuito) (sec. XVII)","https://w3id.org/arco/resource/Subject/09b5c7a35603a26e0cdd99a9b663f476","48 A 98 31 : 11 G 19 2","motivi decorativi a girali vegetali con angeli","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000215-0","motivi decorativi a girali vegetali con angeli (pulpito, opera isolata) by Botto Pietro (attribuito) (sec. XVII)","https://w3id.org/arco/resource/Subject/09b5c7a35603a26e0cdd99a9b663f476","48 A 98 31 : 11 G 19 2","motivi decorativi a girali vegetali con angeli","motivi decorativi a girali vegetali con angeli"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000215-1","San Domenico (pannello, elemento d'insieme) di Botto Pietro (attribuito) (sec. XVII)","https://w3id.org/arco/resource/Subject/e34de3c64dfcceee9ff4d407996e6885","11 H (DOMENICO)","San Domenico","San Domenico"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000215-1","San Domenico (pannello, elemento d'insieme) di Botto Pietro (attribuito) (sec. XVII)","https://w3id.org/arco/resource/Subject/e34de3c64dfcceee9ff4d407996e6885","11 H (DOMENICO)","San Domenico","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000216","busto ritratto di Giovanni dei Veschi (monumento funebre - a lastra, opera isolata) - bottega lombarda (fine sec. XV)","https://w3id.org/arco/resource/Subject/ad97a8012bb10340b02cfeeea1435ba3","61 B 2 (DE VESCHI, Giovanni)","busto ritratto di Giovanni dei Veschi","busto ritratto di Giovanni dei Veschi"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000216","busto ritratto di Giovanni dei Veschi (monumento funebre - a lastra, opera isolata) - bottega lombarda (fine sec. XV)","https://w3id.org/arco/resource/Subject/ad97a8012bb10340b02cfeeea1435ba3","61 B 2 (DE VESCHI, Giovanni)","busto ritratto di Giovanni dei Veschi","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
