"art","subj1","subj1Label","constr","qualifier","qualifierLabel","subj2","subj2Label","subj3","subj3Label"
"http://www.wikidata.org/entity/Q3978277","http://www.wikidata.org/entity/Q1107656","garden","none","none","none","http://www.wikidata.org/entity/Q16930210","Susanna and the Elders","71P4121","71P4121"
"http://www.wikidata.org/entity/Q3978277","http://www.wikidata.org/entity/Q1144593","sitting","none","none","none","http://www.wikidata.org/entity/Q16930210","Susanna and the Elders","71P4121","71P4121"
"http://www.wikidata.org/entity/Q326887","http://www.wikidata.org/entity/Q168456","earring","http://www.wikidata.org/prop/qualifier/P2677","pct:52,22.7,5,4.3","pct:52,22.7,5,4.3","http://www.wikidata.org/entity/Q242412","mobilization","45B32(+221)","45B32(+221)"
"http://www.wikidata.org/entity/Q326887","http://www.wikidata.org/entity/Q472253","Black Brunswickers","none","none","none","http://www.wikidata.org/entity/Q242412","mobilization","45B32(+221)","45B32(+221)"
"http://www.wikidata.org/entity/Q326887","http://www.wikidata.org/entity/Q42948","wall","http://www.wikidata.org/prop/qualifier/P462","http://www.wikidata.org/entity/Q3133","green","http://www.wikidata.org/entity/Q242412","mobilization","45F41","45F41"
"http://www.wikidata.org/entity/Q3618178","http://www.wikidata.org/entity/Q467","woman","none","none","none","http://www.wikidata.org/entity/Q154326","Annunciation","73A522","73A522"
"http://www.wikidata.org/entity/Q326887","http://www.wikidata.org/entity/Q1279269","chignon","none","none","none","http://www.wikidata.org/entity/Q242412","mobilization","61A(15.6.1815)(+1)","61A(15.6.1815)(+1)"
"http://www.wikidata.org/entity/Q326887","http://www.wikidata.org/entity/Q168456","earring","http://www.wikidata.org/prop/qualifier/P186","http://www.wikidata.org/entity/Q43436","pearl","http://www.wikidata.org/entity/Q242412","mobilization","45B32(+221)","45B32(+221)"
"http://www.wikidata.org/entity/Q3210251","http://www.wikidata.org/entity/Q63070","Mary Magdalene","http://www.wikidata.org/prop/qualifier/P459","http://www.wikidata.org/entity/Q106429444","Metropolitan Museum of Art Tagging Initiative","http://www.wikidata.org/entity/Q5989722","Penitent Magdalene","11HH(MARY MAGDALENE)36","11HH(MARY MAGDALENE)36"
"http://www.wikidata.org/entity/Q2583260","http://www.wikidata.org/entity/Q467","woman","http://www.wikidata.org/prop/qualifier/P459","http://www.wikidata.org/entity/Q106429444","Metropolitan Museum of Art Tagging Initiative","http://www.wikidata.org/entity/Q51636","Crucifixion of Jesus","61B2(DALI, Gala)","61B2(DALI, Gala)"
