art,subject1,subj_qualified,subject2,subject3
http://www.wikidata.org/entity/Q3842557,http://www.wikidata.org/entity/Q7560 @ http://www.wikidata.org/entity/Q345 @ http://www.wikidata.org/entity/Q43399 @ http://www.wikidata.org/entity/Q33923 @ http://www.wikidata.org/entity/Q942467 @ http://www.wikidata.org/entity/Q302 @ http://www.wikidata.org/entity/Q3010 @ http://www.wikidata.org/entity/Q467,,http://www.wikidata.org/entity/Q370665 @ http://www.wikidata.org/entity/Q9309699,11H(PETER) @ 11H(ANDREW) @ 11FF4222
http://www.wikidata.org/entity/Q17276240,http://www.wikidata.org/entity/Q43600,,http://www.wikidata.org/entity/Q5022191,73C7115
http://www.wikidata.org/entity/Q18573022,http://www.wikidata.org/entity/Q345 @ http://www.wikidata.org/entity/Q154326,,http://www.wikidata.org/entity/Q154326,73A522
http://www.wikidata.org/entity/Q3907511,http://www.wikidata.org/entity/Q302 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q345 @ http://www.wikidata.org/entity/Q8441,,http://www.wikidata.org/entity/Q154326,11H(PETER) @ 11H(JOHN THE BAPTIST) @ 11H(PAUL) @ 73A52 @ 11D53
http://www.wikidata.org/entity/Q17321779,http://www.wikidata.org/entity/Q2546006 @ http://www.wikidata.org/entity/Q33923,,http://www.wikidata.org/entity/Q33923,11H(PETER)
http://www.wikidata.org/entity/Q19858272,http://www.wikidata.org/entity/Q5022191,,http://www.wikidata.org/entity/Q5022191,73C7115
http://www.wikidata.org/entity/Q3842298,http://www.wikidata.org/entity/Q63070 @ http://www.wikidata.org/entity/Q1358616 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q14130,,http://www.wikidata.org/entity/Q5989722,11HH(MARY MAGDALENE)36
http://www.wikidata.org/entity/Q574004,http://www.wikidata.org/entity/Q302 @ http://www.wikidata.org/entity/Q8441 @ http://www.wikidata.org/entity/Q345 @ http://www.wikidata.org/entity/Q467,,http://www.wikidata.org/entity/Q51636 @ http://www.wikidata.org/entity/Q1821239,73D61 @ 11U11
http://www.wikidata.org/entity/Q924482,http://www.wikidata.org/entity/Q302 @ http://www.wikidata.org/entity/Q8441,,http://www.wikidata.org/entity/Q534805,73D36
http://www.wikidata.org/entity/Q2325834,http://www.wikidata.org/entity/Q8441 @ http://www.wikidata.org/entity/Q302,,http://www.wikidata.org/entity/Q534805,73D36
http://www.wikidata.org/entity/Q3717885,http://www.wikidata.org/entity/Q8441 @ http://www.wikidata.org/entity/Q302,,http://www.wikidata.org/entity/Q534805,73D36
http://www.wikidata.org/entity/Q430069,http://www.wikidata.org/entity/Q302 @ http://www.wikidata.org/entity/Q8441,,http://www.wikidata.org/entity/Q534805,73D36
http://www.wikidata.org/entity/Q3210250,http://www.wikidata.org/entity/Q235544 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q2367101 @ http://www.wikidata.org/entity/Q35197 @ http://www.wikidata.org/entity/Q76768 @ http://www.wikidata.org/entity/Q14748 @ http://www.wikidata.org/entity/Q1144593 @ http://www.wikidata.org/entity/Q9604 @ http://www.wikidata.org/entity/Q1358616 @ http://www.wikidata.org/entity/Q571 @ http://www.wikidata.org/entity/Q42948 @ http://www.wikidata.org/entity/Q189829 @ http://www.wikidata.org/entity/Q1146001 @ http://www.wikidata.org/entity/Q160020 @ http://www.wikidata.org/entity/Q660281 @ http://www.wikidata.org/entity/Q1079524 @ http://www.wikidata.org/entity/Q63070 @ http://www.wikidata.org/entity/Q14130,,http://www.wikidata.org/entity/Q5989722,11HH(MARY MAGDALENE)36
http://www.wikidata.org/entity/Q3210251,http://www.wikidata.org/entity/Q1358616 @ http://www.wikidata.org/entity/Q1079524 @ http://www.wikidata.org/entity/Q116887 @ http://www.wikidata.org/entity/Q12888135 @ http://www.wikidata.org/entity/Q3039121 @ http://www.wikidata.org/entity/Q63070 @ http://www.wikidata.org/entity/Q2367101 @ http://www.wikidata.org/entity/Q3575260 @ http://www.wikidata.org/entity/Q2106696 @ http://www.wikidata.org/entity/Q35197 @ http://www.wikidata.org/entity/Q3406886 @ http://www.wikidata.org/entity/Q160020 @ http://www.wikidata.org/entity/Q860792 @ http://www.wikidata.org/entity/Q13147 @ http://www.wikidata.org/entity/Q14130 @ http://www.wikidata.org/entity/Q189829 @ http://www.wikidata.org/entity/Q9604 @ http://www.wikidata.org/entity/Q2921550 @ http://www.wikidata.org/entity/Q2703478 @ http://www.wikidata.org/entity/Q40953 @ http://www.wikidata.org/entity/Q42948 @ http://www.wikidata.org/entity/Q160108 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q2160801 @ http://www.wikidata.org/entity/Q235544 @ http://www.wikidata.org/entity/Q660281 @ http://www.wikidata.org/entity/Q1144593 @ http://www.wikidata.org/entity/Q1146001 @ http://www.wikidata.org/entity/Q76768 @ http://www.wikidata.org/entity/Q43436,,http://www.wikidata.org/entity/Q5989722,11HH(MARY MAGDALENE)36
http://www.wikidata.org/entity/Q1239065,http://www.wikidata.org/entity/Q302 @ http://www.wikidata.org/entity/Q8441,,http://www.wikidata.org/entity/Q534805,73D36
http://www.wikidata.org/entity/Q3110269,http://www.wikidata.org/entity/Q302 @ http://www.wikidata.org/entity/Q392371 @ http://www.wikidata.org/entity/Q51636,,http://www.wikidata.org/entity/Q51636,73D61
http://www.wikidata.org/entity/Q3820951,http://www.wikidata.org/entity/Q14130 @ http://www.wikidata.org/entity/Q8866546 @ http://www.wikidata.org/entity/Q63070 @ http://www.wikidata.org/entity/Q1358616 @ http://www.wikidata.org/entity/Q81938 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q9604,,http://www.wikidata.org/entity/Q5989722,11HH(MARY MAGDALENE)36
http://www.wikidata.org/entity/Q9191570,http://www.wikidata.org/entity/Q8441 @ http://www.wikidata.org/entity/Q302 @ http://www.wikidata.org/entity/Q19983456,,http://www.wikidata.org/entity/Q534805,73D36
http://www.wikidata.org/entity/Q17319790,http://www.wikidata.org/entity/Q202466 @ http://www.wikidata.org/entity/Q63070 @ http://www.wikidata.org/entity/Q83772 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q1358616 @ http://www.wikidata.org/entity/Q9103 @ http://www.wikidata.org/entity/Q808132 @ http://www.wikidata.org/entity/Q14130,,http://www.wikidata.org/entity/Q5989722,11HH(MARY MAGDALENE)36
http://www.wikidata.org/entity/Q3847399,http://www.wikidata.org/entity/Q1358616 @ http://www.wikidata.org/entity/Q808132 @ http://www.wikidata.org/entity/Q374192 @ http://www.wikidata.org/entity/Q14130 @ http://www.wikidata.org/entity/Q695992 @ http://www.wikidata.org/entity/Q63070 @ http://www.wikidata.org/entity/Q2367101 @ http://www.wikidata.org/entity/Q467,,http://www.wikidata.org/entity/Q5989722,11HH(MARY MAGDALENE)36
