artwork	prop1	prop2
http://dbpedia.org/resource/Sleeping_Lady_with_Black_Vase	http://dbpedia.org/resource/Category:1920s_paintings @ http://dbpedia.org/resource/Category:Hungarian_paintings @ http://dbpedia.org/resource/Category:Lost_paintings @ http://dbpedia.org/resource/Category:Oil_paintings @ http://dbpedia.org/resource/Category:Portraits_of_women	Eta Berény
http://dbpedia.org/resource/Ludwig_van_Beethoven_(Baerer)	http://dbpedia.org/resource/Category:1884_establishments_in_New_York_(state) @ http://dbpedia.org/resource/Category:Allegorical_sculptures_in_the_United_States @ http://dbpedia.org/resource/Category:Bronze_sculptures_in_Brooklyn @ http://dbpedia.org/resource/Category:Bronze_sculptures_in_California @ http://dbpedia.org/resource/Category:Bronze_sculptures_in_Manhattan @ http://dbpedia.org/resource/Category:Busts_in_California @ http://dbpedia.org/resource/Category:Busts_in_New_York_City @ http://dbpedia.org/resource/Category:Golden_Gate_Park @ http://dbpedia.org/resource/Category:Monuments_and_memorials_in_Brooklyn @ http://dbpedia.org/resource/Category:Monuments_and_memorials_in_California @ http://dbpedia.org/resource/Category:Monuments_and_memorials_in_Manhattan @ http://dbpedia.org/resource/Category:Outdoor_sculptures_in_Brooklyn @ http://dbpedia.org/resource/Category:Outdoor_sculptures_in_Manhattan @ http://dbpedia.org/resource/Category:Outdoor_sculptures_in_San_Francisco @ http://dbpedia.org/resource/Category:Prospect_Park_(Brooklyn) @ http://dbpedia.org/resource/Category:Sculptures_in_Central_Park @ http://dbpedia.org/resource/Category:Sculptures_of_Ludwig_van_Beethoven @ http://dbpedia.org/resource/Category:Sculptures_of_men_in_California @ http://dbpedia.org/resource/Category:Sculptures_of_men_in_New_York_City @ http://dbpedia.org/resource/Category:Statues_in_New_York_City @ http://dbpedia.org/resource/Category:Statues_in_San_Francisco	http://dbpedia.org/resource/Ludwig_van_Beethoven
http://dbpedia.org/resource/Statue_of_Thomas_Jefferson_(David_d'Angers)	http://dbpedia.org/resource/Category:1830s_sculptures @ http://dbpedia.org/resource/Category:Bronze_sculptures_in_Washington,_D.C. @ http://dbpedia.org/resource/Category:Monuments_and_memorials_in_Washington,_D.C. @ http://dbpedia.org/resource/Category:Removed_statues @ http://dbpedia.org/resource/Category:Sculptures_of_men_in_New_York_City @ http://dbpedia.org/resource/Category:Sculptures_of_men_in_Washington,_D.C. @ http://dbpedia.org/resource/Category:Statues_in_New_York_City @ http://dbpedia.org/resource/Category:Statues_of_Thomas_Jefferson @ http://dbpedia.org/resource/Category:United_States_Capitol_statues	http://dbpedia.org/resource/Thomas_Jefferson
http://dbpedia.org/resource/Statue_of_Eliza_R._Snow	http://dbpedia.org/resource/Category:Monuments_and_memorials_in_Utah @ http://dbpedia.org/resource/Category:Monuments_and_memorials_to_women @ http://dbpedia.org/resource/Category:Outdoor_sculptures_in_Salt_Lake_City @ http://dbpedia.org/resource/Category:Sculptures_of_women_in_Utah @ http://dbpedia.org/resource/Category:Statues_in_Utah @ http://dbpedia.org/resource/Category:Statues_of_writers	http://dbpedia.org/resource/Eliza_R._Snow
http://dbpedia.org/resource/The_King's_Fountain	http://dbpedia.org/resource/Category:16th-century_paintings @ http://dbpedia.org/resource/Category:Anonymous_works @ http://dbpedia.org/resource/Category:Paintings_in_Portugal	Chafariz d’El-Rey
http://dbpedia.org/resource/Statue_of_Kanō_Jigorō,_Bunkyō	http://dbpedia.org/resource/Category:Buildings_and_structures_in_Bunkyō @ http://dbpedia.org/resource/Category:Monuments_and_memorials_in_Japan @ http://dbpedia.org/resource/Category:Sculptures_of_men_in_Japan @ http://dbpedia.org/resource/Category:Statues_in_Japan	http://dbpedia.org/resource/Kanō_Jigorō
http://dbpedia.org/resource/Bacchante_and_Infant_Faun	http://dbpedia.org/resource/Category:1894_sculptures @ http://dbpedia.org/resource/Category:Bronze_sculptures_in_New_York_City @ http://dbpedia.org/resource/Category:Marble_sculptures_in_New_York_City @ http://dbpedia.org/resource/Category:Marble_sculptures_in_the_United_States @ http://dbpedia.org/resource/Category:Metalwork_of_the_Metropolitan_Museum_of_Art @ http://dbpedia.org/resource/Category:Nude_sculptures @ http://dbpedia.org/resource/Category:Sculptures_by_Frederick_William_MacMonnies @ http://dbpedia.org/resource/Category:Sculptures_of_children @ http://dbpedia.org/resource/Category:Sculptures_of_the_Metropolitan_Museum_of_Art	Woman celebrating while holding an infant
http://dbpedia.org/resource/James_Maitland,_7th_Earl_of_Lauderdale_(Reynolds_painting)	http://dbpedia.org/resource/Category:1760_paintings @ http://dbpedia.org/resource/Category:Art_Gallery_of_New_South_Wales @ http://dbpedia.org/resource/Category:Portraits_by_Joshua_Reynolds @ http://dbpedia.org/resource/Category:Portraits_of_historical_figures	James Maitland, 7th Earl of Lauderdale
http://dbpedia.org/resource/Dancer_with_Flat_Hat	http://dbpedia.org/resource/Category:1966_sculptures @ http://dbpedia.org/resource/Category:1971_sculptures @ http://dbpedia.org/resource/Category:Abstract_sculptures_in_Washington_(state) @ http://dbpedia.org/resource/Category:Bronze_sculptures_in_Washington_(state) @ http://dbpedia.org/resource/Category:Outdoor_sculptures_in_Seattle @ http://dbpedia.org/resource/Category:Sculptures_of_women_in_Washington_(state) @ http://dbpedia.org/resource/Category:Statues_in_Seattle @ http://dbpedia.org/resource/Category:University_of_Washington_campus	A female wearing a flat hat and skirt
http://dbpedia.org/resource/Self-Portrait_(Salvator_Rosa)	http://dbpedia.org/resource/Category:1640s_paintings @ http://dbpedia.org/resource/Category:Baroque_paintings @ http://dbpedia.org/resource/Category:Oil_on_canvas_paintings @ http://dbpedia.org/resource/Category:Paintings_by_Salvator_Rosa @ http://dbpedia.org/resource/Category:Paintings_in_the_collection_of_the_Musée_des_Beaux-Arts_de_Strasbourg @ http://dbpedia.org/resource/Category:Self-portraits	http://dbpedia.org/resource/Self-portrait
