art,subj1,subj1Label,constr,constrLabel,qualifier,qualifierLabel,subj2,subj2Label,subj3,subj3Label
http://www.wikidata.org/entity/Q2489939,http://www.wikidata.org/entity/Q144,cane,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/entity/Q106429444,Metropolitan Museum of Art Tagging Initiative,http://www.wikidata.org/entity/Q488841,Adorazione dei Magi,34B11,34B11
http://www.wikidata.org/entity/Q17320369,http://www.wikidata.org/entity/Q527,cielo,http://www.wikidata.org/prop/qualifier/P462,http://www.wikidata.org/prop/qualifier/P462,http://www.wikidata.org/entity/Q373160,celeste,http://www.wikidata.org/entity/Q63070,Maria Maddalena,25H11,25H11
http://www.wikidata.org/entity/Q311243,http://www.wikidata.org/entity/Q1347864,bastone da passeggio,http://www.wikidata.org/prop/qualifier/P2677,http://www.wikidata.org/prop/qualifier/P2677,"pct:63.7032,74.739,,","pct:63.7032,74.739,,",http://www.wikidata.org/entity/Q2548061,wanderlust,25H11,25H11
http://www.wikidata.org/entity/Q20198607,http://www.wikidata.org/entity/Q8441,uomo,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/entity/Q106429444,Metropolitan Museum of Art Tagging Initiative,http://www.wikidata.org/entity/Q16930210,Susanna e i vecchioni,71P4121,71P4121
http://www.wikidata.org/entity/Q20198607,http://www.wikidata.org/entity/Q467,donna,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/entity/Q106429444,Metropolitan Museum of Art Tagging Initiative,http://www.wikidata.org/entity/Q16930210,Susanna e i vecchioni,71P4121,71P4121
http://www.wikidata.org/entity/Q3978277,http://www.wikidata.org/entity/Q35197,specchio,http://www.wikidata.org/prop/qualifier/P2677,http://www.wikidata.org/prop/qualifier/P2677,"pct:24.477,46.3187,15.3643,36.3359","pct:24.477,46.3187,15.3643,36.3359",http://www.wikidata.org/entity/Q16930210,Susanna e i vecchioni,71P4121,71P4121
http://www.wikidata.org/entity/Q17338390,http://www.wikidata.org/entity/Q425548,tavolozza,http://www.wikidata.org/prop/qualifier/P1114,http://www.wikidata.org/prop/qualifier/P1114,1,1,http://www.wikidata.org/entity/Q2492329,Hendrik van de Sande Bakhuyzen,47I213,47I213
http://www.wikidata.org/entity/Q17338390,http://www.wikidata.org/entity/Q7368,pecora,http://www.wikidata.org/prop/qualifier/P1114,http://www.wikidata.org/prop/qualifier/P1114,8,8,http://www.wikidata.org/entity/Q2492329,Hendrik van de Sande Bakhuyzen,47I213,47I213
http://www.wikidata.org/entity/Q17338390,http://www.wikidata.org/entity/Q726,cavallo,http://www.wikidata.org/prop/qualifier/P1114,http://www.wikidata.org/prop/qualifier/P1114,1,1,http://www.wikidata.org/entity/Q2492329,Hendrik van de Sande Bakhuyzen,47I213,47I213
http://www.wikidata.org/entity/Q17338390,http://www.wikidata.org/entity/Q15479103,folding stool,http://www.wikidata.org/prop/qualifier/P1114,http://www.wikidata.org/prop/qualifier/P1114,1,1,http://www.wikidata.org/entity/Q2492329,Hendrik van de Sande Bakhuyzen,47I213,47I213
