"art","art_label","subj","subj_label"
"https://w3id.org/zericatalog/artwork/36687","Artwork ""Bigordi Ridolfo di Domenico , Madonna con Bambino"" ","https://w3id.org/zericatalog/subject/madonna-con-bambino","Madonna con Bambino"
"https://w3id.org/zericatalog/artwork/37390","Artwork ""Boscoli Andrea , Madonna con Bambino e san Giovannino"" ","https://w3id.org/zericatalog/subject/madonna-con-bambino-e-san-giovannino","Madonna con Bambino e san Giovannino"
"https://w3id.org/zericatalog/artwork/33338","Artwork ""Anselmi Michelangelo , Madonna con Bambino tra santa Caterina d'Alessandria e santa Chiara"" ","https://w3id.org/zericatalog/subject/madonna-con-bambino-tra-santa-caterina-dalessandria-e-santa-chiara","Madonna con Bambino tra santa Caterina d'Alessandria e santa Chiara"
"https://w3id.org/zericatalog/artwork/31218","Artwork ""Anonimo sec. XVI , Adorazione dei pastori"" ","https://w3id.org/zericatalog/subject/adorazione-dei-pastori","Adorazione dei pastori"
"https://w3id.org/zericatalog/artwork/34637","Artwork ""Kasteels Frans van de , San Francesco d'Assisi in preghiera"" ","https://w3id.org/zericatalog/subject/san-francesco-dassisi-in-preghiera","San Francesco d'Assisi in preghiera"
"https://w3id.org/zericatalog/artwork/44367","Artwork ""Caliari Paolo , Allegoria della Gloria"" , (component)","https://w3id.org/zericatalog/subject/allegoria-della-gloria","Allegoria della Gloria"
"https://w3id.org/zericatalog/artwork/44969","Artwork ""Bassano Jacopo , Madonna con Bambino"" ","https://w3id.org/zericatalog/subject/madonna-con-bambino","Madonna con Bambino"
"https://w3id.org/zericatalog/artwork/31198","Artwork ""Cesura Pompeo , Adorazione dei pastori"" ","https://w3id.org/zericatalog/subject/adorazione-dei-pastori","Adorazione dei pastori (?)"
"https://w3id.org/zericatalog/artwork/47460","Artwork ""D'Enrico Antonio , San Benedetto si getta nudo nel cespuglio di rovi"" ","https://w3id.org/zericatalog/subject/san-benedetto-si-getta-nudo-nel-cespuglio-di-rovi","San Benedetto si getta nudo nel cespuglio di rovi"
"https://w3id.org/zericatalog/artwork/46904","Artwork ""Marinoni Bernardo, Marinoni Antonio , San Girolamo"" ","https://w3id.org/zericatalog/subject/san-girolamo","san Girolamo"
"https://w3id.org/zericatalog/artwork/48969","Artwork ""Vendramin Andrea , Paesaggio con contadini, Ritratto maschile"" ","https://w3id.org/zericatalog/subject/ritratto-maschile","Ritratto maschile"
"https://w3id.org/zericatalog/artwork/38910","Artwork ""Anonimo fiorentino sec. XVI , Ritratto femminile"" ","https://w3id.org/zericatalog/subject/ritratto-femminile","Ritratto femminile"
"https://w3id.org/zericatalog/artwork/31430","Artwork ""Baglione Giovanni , Giuseppe e la moglie di Putifarre"" ","https://w3id.org/zericatalog/subject/giuseppe-e-la-moglie-di-putifarre","Giuseppe e la moglie di Putifarre"
"https://w3id.org/zericatalog/artwork/34935","Artwork ""Rizzi Gian Pietro , Santa Maria Maddalena"" ","https://w3id.org/zericatalog/subject/santa-maria-maddalena","Santa Maria Maddalena"
"https://w3id.org/zericatalog/artwork/ciecp","Artistic work ""Caliari Paolo (Veronese), Cena in Emmaus""","https://w3id.org/zericatalog/subject/cena-in-emmaus","Cena in Emmaus"
"https://w3id.org/zericatalog/artwork/40408","Artwork ""Pupini Biagio , Adorazione del Bambino"" ","https://w3id.org/zericatalog/subject/adorazione-del-bambino","Adorazione del Bambino"
